index,Final_description,title
p00000,write a program which prints multiplication tables in the following format: 1x1=1 1x2=2 . . 9x8=72 9x9=81,"Write a program which prints multiplication tables in the following format: 1x1=1 1x2=2 9x8=72 9x9=81.    ""1x1 = 1, 2 = 2, 9x3 = 9, 9 x 9 = 81"""
p00001,there is a data which provides heights (in meter) of mountains. the data is only for ten mountains. write a program which prints heights of the top three mountains in descending order.,"There is a data which provides heights (in meter) of mountains, but the data is only for ten mountains. Write a program which prints the heights of the top three mountains in descending order, in order from the top to the bottom of the data. "
p00002,write a program which computes the digit number of sum of two integers a and b.,"Write a program which computes the digit number of sum of two integers a and b for each digit of a and a. Write a program that computes a digit number for each of the two digits of b. For example, a digit for b is the sum of the digits a and B."
p00003,"write a program which judges wheather given length of three side form a right triangle. print ""yes"" if the given sides (integers) form a right triangle, ""no"" if not so.","Write a program which judges wheather a given length of three side form a right triangle. print ""yes"" if the given sides form the right triangle, ""no"" if they do not, if they are not, then print ""not"" if not."
p00004,"write a program which solve a simultaneous equation: ax + by = c dx + ey = f the program should print x and y for given a, b, c, d, e and f (-1,000 &le; a, b, c, d, e, f &le; 1,000). you can suppose that given equation has a unique solution.","The program should print x and y for given a, b, c, d, e, f and the equation ax + by = c + ey = f. Each solution of the equation has a unique solution, so each equation has its own unique solution."
p00005,write a program which computes the greatest common divisor (gcd) and the least common multiple (lcm) of given a and b.,"Write a program which computes the greatest common divisor and the least common multiple of given a and b, and then write a program that computes them together. For example, gcd and lcm are the greatest and least common multipliers. "
p00006,write a program which reverses a given string str.,"Write a program which reverses a given string str. Write a program that reverses the given string in order to solve a problem. For example, write a program to reverse a string in a certain way. For more information, go to: http://www.cnn.com/programming."
p00007,"your friend who lives in undisclosed country is involved in debt. he is borrowing 100,000-yen from a loan shark. the loan shark adds 5% interest of the debt and rounds it to the nearest 1,000 above week by week. write a program which computes the amount of the debt in n weeks.","Your friend lives in an undisclosed country is in debt. He is borrowing 100,000-yen from a loan shark. The loan shark rounds the debt to the nearest 1,000 above week by week. Write a program which computes the amount of the debt in n weeks."
p00008,"write a program which reads an integer n and identifies the number of combinations of a, b, c and d (0 &le; a, b, c, d &le; 9) which meet the following equality: a + b + c + d = n for example, for n = 35, we have 4 different combinations of (a, b, c, d): (8, 9, 9, 9), (9, 8, 9, 9), (9, 9, 8, 9), and (9, 9, 9, 8).","Write a program that identifies the number of combinations of a, b, c and d which meet the following equality: a + b + c + d = n. For example, for n = 35 there are 4 different combinations of (a, b,. c, d): (8, 9, 9)."
p00009,"write a program which reads an integer n and prints the number of prime numbers which are less than or equal to n. a prime number is a natural number which has exactly two distinct natural number divisors: 1 and itself. for example, the first four prime numbers are: 2, 3, 5 and 7.","A prime number is a natural number which has exactly two distinct natural number divisors: 1 and itself. The first four prime numbers are 2, 3, 5, 6 and 7. Write a program which reads an integer n and prints the number of prime numbers which are less or equal to n."
