index,Final_title,Final_description
p00000,QQ,"
write a program which prints multiplication tables in the following format:
 


1x1=1
1x2=2
.
.
9x8=72
9x9=81


"
p00001,List of Top 3 Hills,"
there is a data which provides heights (in meter) of mountains. the data is only for ten mountains.
 
write a program which prints heights of the top three mountains in descending order.
 

"
p00002,Digit Number,"
write a program which computes the digit number of sum of two integers a and b.
 

"
p00003,Is it a Right Triangle?,"
write a program which judges wheather given length of three side form a right triangle. print ""yes"" if the given sides (integers) form a right triangle, ""no"" if not so.
 

"
p00004,Simultaneous Equation,"
write a program which solve a simultaneous equation:

 ax + by = c
 dx + ey = f


the program should print x and y for given a, b, c, d, e and f (-1,000 &le; a, b, c, d, e, f &le; 1,000). you can suppose that given equation has a unique solution.
 


"
p00005,GCD and LCM,"
write a program which computes the greatest common divisor (gcd) and the least common multiple (lcm) of given a and b. 
 

"
p00006,Reverse Sequence,"
write a program which reverses a given string str.
 

"
p00007,Debt Hell,"
your friend who lives in undisclosed country is involved in debt. he is borrowing 100,000-yen from a loan shark. the loan shark adds 5% interest of the debt and rounds it to the nearest 1,000 above week by week.
 
write a program which computes the amount of the debt in n weeks. 
 

"
p00008,Sum of 4 Integers,"
write a program which reads an integer n  and identifies the number of combinations of a, b, c and d (0 &le; a, b, c, d &le; 9) which meet the following equality:

a + b + c + d = n


for example, for n = 35, we have 4 different combinations of (a, b, c, d): (8, 9, 9, 9), (9, 8, 9, 9), (9, 9, 8, 9), and (9, 9, 9, 8).
 

"
p00009,Prime Number,"
write a program which reads an integer n and prints the number of prime numbers which are less than or equal to n. a prime number is a natural number which has exactly two distinct natural number divisors: 1 and itself. for example, the first four prime numbers are: 2, 3, 5 and 7.
 

"
p00010,Circumscribed Circle of a Triangle,"
write a program which prints the central coordinate $(p_x, p_y)$ and the radius $r$ of a circumscribed circle of a triangle which is constructed by three points $(x_1, y_1)$, $(x_2, y_2)$ and $(x_3, y_3)$ on the plane surface. 
 

"
p00011,Drawing Lots,"
let's play amidakuji. 
 
in the following example, there are five vertical lines and four horizontal lines. the horizontal lines can intersect (jump across) the vertical lines.
 
in the starting points (top of the figure), numbers are assigned to vertical lines in ascending order from left to right. at the first step, 2 and 4 are swaped by the first horizontal line which connects second and fourth vertical lines (we call this operation (2, 4)). likewise, we perform (3, 5), (1, 2) and (3, 4), then obtain ""4 1 2 5 3"" in the bottom.
 
your task is to write a program which reads the number of vertical lines w and configurations of horizontal lines and prints the final state of the amidakuji. in the starting pints, numbers 1, 2, 3, ..., w are assigne to the vertical lines from left to right.
 

"
p00012,A Point in a Triangle,"
there is a triangle formed by three points $(x_1, y_1)$, $(x_2, y_2)$, $(x_3, y_3)$ on a plain.
 
write a program which prints ""yes"" if a point $p$ $(x_p, y_p)$ is in the triangle and ""no"" if not.
 
you can suppose that p is never on the points nor sides of the triangle.
 
-->


"
p00013,Switching Railroad Cars,"
this figure shows railway tracks for reshuffling cars. the rail tracks end in the bottom and the top-left rail track is used for the entrace and the top-right rail track is used for the exit. ten cars, which have numbers from 1 to 10 respectively, use the rail tracks.
 
we can simulate the movement (comings and goings) of the cars as follow: 
 an entry of a car is represented by its number. an exit of a car is represented by 0 
for example, a sequence
 
demonstrates that car 1 and car 6 enter to the rail tracks in this order, car 6 exits from the rail tracks, and then car 8 and car 10 enter.
 
write a program which simulates comings and goings of the cars which are represented by the sequence of car numbers. the program should read the sequence of car numbers and 0, and print numbers of cars which exit from the rail tracks in order. at the first, there are no cars on the rail tracks. you can assume that 0 will not be given when there is no car on the rail tracks.
 




"
