index,Final_description
p00000,"
write a program which prints multiplication tables in the following format:
 


1x1=1
1x2=2
.
.
9x8=72
9x9=81


"
p00001,"
there is a data which provides heights (in meter) of mountains. the data is only for ten mountains.
 
write a program which prints heights of the top three mountains in descending order.
 

"
p00002,"
write a program which computes the digit number of sum of two integers a and b.
 

"
p00003,"
write a program which judges wheather given length of three side form a right triangle. print ""yes"" if the given sides (integers) form a right triangle, ""no"" if not so.
 

"
p00004,"
write a program which solve a simultaneous equation:

 ax + by = c
 dx + ey = f


the program should print x and y for given a, b, c, d, e and f (-1,000 &le; a, b, c, d, e, f &le; 1,000). you can suppose that given equation has a unique solution.
 


"
p00005,"
write a program which computes the greatest common divisor (gcd) and the least common multiple (lcm) of given a and b. 
 

"
p00006,"
write a program which reverses a given string str.
 

"
p00007,"
your friend who lives in undisclosed country is involved in debt. he is borrowing 100,000-yen from a loan shark. the loan shark adds 5% interest of the debt and rounds it to the nearest 1,000 above week by week.
 
write a program which computes the amount of the debt in n weeks. 
 

"
p00008,"
write a program which reads an integer n  and identifies the number of combinations of a, b, c and d (0 &le; a, b, c, d &le; 9) which meet the following equality:

a + b + c + d = n


for example, for n = 35, we have 4 different combinations of (a, b, c, d): (8, 9, 9, 9), (9, 8, 9, 9), (9, 9, 8, 9), and (9, 9, 9, 8).
 

"
p00009,"
write a program which reads an integer n and prints the number of prime numbers which are less than or equal to n. a prime number is a natural number which has exactly two distinct natural number divisors: 1 and itself. for example, the first four prime numbers are: 2, 3, 5 and 7.
 

"
p00010,"
write a program which prints the central coordinate $(p_x, p_y)$ and the radius $r$ of a circumscribed circle of a triangle which is constructed by three points $(x_1, y_1)$, $(x_2, y_2)$ and $(x_3, y_3)$ on the plane surface. 
 

"
p00011,"
let's play amidakuji. 
 
in the following example, there are five vertical lines and four horizontal lines. the horizontal lines can intersect (jump across) the vertical lines.
 
in the starting points (top of the figure), numbers are assigned to vertical lines in ascending order from left to right. at the first step, 2 and 4 are swaped by the first horizontal line which connects second and fourth vertical lines (we call this operation (2, 4)). likewise, we perform (3, 5), (1, 2) and (3, 4), then obtain ""4 1 2 5 3"" in the bottom.
 
your task is to write a program which reads the number of vertical lines w and configurations of horizontal lines and prints the final state of the amidakuji. in the starting pints, numbers 1, 2, 3, ..., w are assigne to the vertical lines from left to right.
 

"
p00013,"
this figure shows railway tracks for reshuffling cars. the rail tracks end in the bottom and the top-left rail track is used for the entrace and the top-right rail track is used for the exit. ten cars, which have numbers from 1 to 10 respectively, use the rail tracks.
 
we can simulate the movement (comings and goings) of the cars as follow: 
 an entry of a car is represented by its number. an exit of a car is represented by 0 
for example, a sequence
 
demonstrates that car 1 and car 6 enter to the rail tracks in this order, car 6 exits from the rail tracks, and then car 8 and car 10 enter.
 
write a program which simulates comings and goings of the cars which are represented by the sequence of car numbers. the program should read the sequence of car numbers and 0, and print numbers of cars which exit from the rail tracks in order. at the first, there are no cars on the rail tracks. you can assume that 0 will not be given when there is no car on the rail tracks.
 




"
p00014,"
write a program which computes the area of a shape represented by the following three lines:

$y = x^2$
$y = 0$
$x = 600$

-->
 
it is clear that the area is $72000000$, if you use an integral you learn in high school. on the other hand, we can obtain an approximative area of the shape by adding up areas of many rectangles in the shape as shown in the following figure:
 
the approximative area $s$ where the width of the rectangles is $d$ is:

area of rectangle where its width is $d$ and height is $f(d)$ $+$ 
area of rectangle where its width is $d$ and height is $f(2d)$ $+$ 
area of rectangle where its width is $d$ and height is $f(3d)$ $+$ 
...
area of rectangle where its width is $d$ and height is $f(600 - d)$  
 
the more we decrease $d$, the higer-precision value which is close to $72000000$ we could obtain. your program should read the integer $d$ which is a divisor of $600$, and print the area $s$.
 

"
p00015,"
a country has a budget of more than 81 trillion yen. we want to process such data, but conventional integer type which uses signed 32 bit can represent up to 2,147,483,647.
 
your task is to write a program which reads two integers (more than or equal to zero), and prints a sum of these integers.
 
if given integers or the sum have more than 80 digits, print ""overflow"".
 

"
p00017,"
is would become:
 
write a program which reads a text encrypted by caesar chipher and prints the corresponding decoded text. the number of shift is secret and it depends on datasets, but you can assume that the decoded text includes any of the following words: ""the"", ""this"", or ""that"".
 


"
p00018,"
write a program which reads five numbers and sorts them in descending order.
 

"
p00019,"
write a program which reads an integer n and prints the factorial of n. you can assume that n &le; 20.
 

"
p00020,"
write a program which replace all the lower-case letters of a given text with the corresponding captital letters. 
 

"
p00021,"
there are four points: $a(x_1, y_1)$, $b(x_2, y_2)$, $c(x_3, y_3)$, and $d(x_4, y_4)$. write a program which determines whether the line $ab$ and the line $cd$ are parallel. if those two lines are parallel, your program should prints ""yes"" and if not prints ""no"". 
 

"
p00022,"
given a sequence of numbers a1, a2, a3, ..., an, find the maximum sum of a contiguous subsequence of those numbers. note that, a subsequence of one element is also a contiquous subsequence.
 

"
p00023,"
you are given circle $a$ with radius $r_a$ and with central coordinate $(x_a, y_a)$ and circle $b$ with radius $r_b$ and with central coordinate $(x_b, y_b)$.
 
write a program which prints:
 ""2"" if $b$ is in $a$, ""-2"" if $a$ is in $b$,  ""1"" if circumference of $a$ and $b$ intersect, and ""0"" if $a$ and $b$ do not overlap. 
you may assume that $a$ and $b$ are not identical.
 

"
p00024,"
ignoring the air resistance, velocity of a freely falling object $v$ after $t$ seconds and its drop $y$ in $t$ seconds are represented by the following formulas:

$ v = 9.8 t $
$ y = 4.9 t^2 $
 
a person is trying to drop down a glass ball and check whether it will crack. your task is to write a program to help this experiment.
 
you are given the  minimum velocity to crack the ball. your program should print the lowest possible floor of a building to crack the ball. the height of the $n$ floor of the building is defined by $5 \times n - 5$.
 


"
p00025,"
let's play hit and blow game. a imagines four numbers and b guesses the numbers. after b picks out four numbers, a answers:
  the number of numbers which have the same place with numbers a imagined (hit)   the number of numbers included (but different place) in the numbers a imagined (blow) 
for example, if a imagined numbers:
 
and b chose:
 
a should say 1 hit and 1 blow.
 
write a program which reads four numbers a imagined and four numbers b chose and prints the number of hit and blow respectively. you may assume that the four numbers are all different and within from 0 to 9.
 
"
p00026,"
as shown in the following figure, there is a paper consisting of a grid structure where each cell is indicated by (x, y) coordinate system.
 
we are going to put drops of ink on the paper. a drop comes in three different sizes: large, medium, and small. from the point of fall, the ink sinks into surrounding cells as shown in the figure depending on its size. in the figure, a star denotes the point of fall and a circle denotes the surrounding cells.
 
originally, the paper is white that means for each cell the value of density is 0. the value of density is increased by 1 when the ink sinks into the corresponding cells.

for example, if we put a drop of small ink at (1, 2) and a drop of medium ink at (3, 2), the ink will sink as shown in the following figure (left side):
 
in the figure, density values of empty cells are 0. the ink sinking into out of the paper should be ignored as shown in the figure (top side). we can put several drops of ink at the same point.
 
your task is to write a program which reads a sequence of points of fall (x, y) with its size (small = 1, medium = 2, large = 3), and prints the number of cells whose density value is 0. the program must also print the maximum value of density.
 
you may assume that the paper always consists of 10 &times; 10, and 0 &le; x &lt; 10, 0 &le; y &lt; 10.
 

"
p00027,"
your task is to write a program which reads a date (from 2004/1/1 to 2004/12/31) and prints the day of the date. jan. 1, 2004, is thursday. note that 2004 is a leap year and we have feb. 29.
 

"
p00028,"
your task is to write a program which reads a sequence of integers and prints mode values of the sequence.
the mode value is the element which occurs most frequently. 
 

"
p00029,"
your task is to write a program which reads a text and prints two words. the first one is the word which is arise most frequently in the text. the second one is the word which has the maximum number of letters.
 
the text includes only alphabetical characters and spaces. a word is a sequence of letters which is separated by the spaces. 
 

"
p00030,"Create a program that takes n different numbers from 0 to 9 and outputs the number of combinations that sum up to s. Each of the n numbers must be from 0 to 9, and no two numbers can be the same in a single combination. For example, if n is 3 and s is 6, the combination of 3 numbers that sum to 6 is

1 + 2 + 3 = 6
0 + 1 + 5 = 6
0 + 2 + 4 = 6

The three combinations are 1 + 2 + 3 = 6 0 + 1 + 5 = 6 0 + 2 + 4 = 6

"
